date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2022-04-23,RCB,SRH,M Jansen,SRH,9 wickets,SRH,field,brabourne stadium,mumbai,23,4,2022,2022,no super over,no super over,no super over,36,simple matches,69,72.0,0,no super over,0
2022-04-24,LSG,MI,KL Rahul,LSG,36 runs,MI,field,wankhede stadium,mumbai,24,4,2022,2022,no super over,no super over,no super over,37,simple matches,169,132.0,0,MI,0
2022-04-25,KXP,CSK,S Dhawan,KXP,11 runs,CSK,field,wankhede stadium,mumbai,25,4,2022,2022,no super over,no super over,no super over,38,simple matches,188,176.0,0,MI,0
2022-04-26,RR,RCB,R Parag,RR,29 runs,RCB,field,maharashtra cricket association stadium,pune,26,4,2022,2022,no super over,no super over,no super over,39,simple matches,145,115.0,0,no super over,0
2022-04-27,SRH,GT,Umran Malik,GT,5 wickets,GT,field,wankhede stadium,mumbai,27,4,2022,2022,no super over,no super over,no super over,40,simple matches,196,199.0,0,MI,0
2022-04-28,KKR,DC,Kuldeep Yadav,DC,4 wickets,DC,field,wankhede stadium,mumbai,28,4,2022,2022,no super over,no super over,no super over,41,simple matches,147,150.0,0,MI,0
2022-04-29,LSG,KXP,KH Pandya,LSG,20 runs,KXP,field,maharashtra cricket association stadium,pune,29,4,2022,2022,no super over,no super over,no super over,42,simple matches,154,133.0,0,no super over,0
2022-04-30,RCB,GT,R Tewatia,GT,6 wickets,RCB,bat,brabourne stadium,mumbai,30,4,2022,2022,no super over,no super over,no super over,43,simple matches,171,174.0,0,no super over,0
2022-04-30,RR,MI,SA Yadav,MI,5 wickets,MI,field,dr dy patil sports academy,navi mumbai,30,4,2022,2022,no super over,no super over,no super over,44,simple matches,159,161.0,0,no super over,0
2022-05-01,LSG,DC,Mohsin Khan,LSG,6 runs,LSG,bat,wankhede stadium,mumbai,1,5,2022,2022,no super over,no super over,no super over,45,simple matches,196,189.0,0,MI,0
2022-05-01,CSK,SRH,RD Gaikwad,CSK,13 runs,SRH,field,maharashtra cricket association stadium,pune,1,5,2022,2022,no super over,no super over,no super over,46,simple matches,203,189.0,0,no super over,0
2022-05-02,RR,KKR,RK Singh,KKR,7 wickets,KKR,field,wankhede stadium,mumbai,2,5,2022,2022,no super over,no super over,no super over,47,simple matches,153,158.0,0,MI,0
2022-05-03,GT,KXP,K Rabada,KXP,8 wickets,GT,bat,dr dy patil sports academy,navi mumbai,3,5,2022,2022,no super over,no super over,no super over,48,simple matches,144,145.0,0,no super over,0
2022-05-04,RCB,CSK,HV Patel,RCB,13 runs,CSK,field,maharashtra cricket association stadium,pune,4,5,2022,2022,no super over,no super over,no super over,49,simple matches,174,160.0,0,no super over,0
2022-05-05,DC,SRH,DA Warner,DC,21 runs,SRH,field,brabourne stadium,mumbai,5,5,2022,2022,no super over,no super over,no super over,50,simple matches,208,186.0,0,no super over,0
2022-05-06,MI,GT,TH David,MI,5 runs,GT,field,brabourne stadium,mumbai,6,5,2022,2022,no super over,no super over,no super over,51,simple matches,178,172.0,0,no super over,0
2022-05-07,KXP,RR,YBK Jaiswal,RR,6 wickets,KXP,bat,wankhede stadium,mumbai,7,5,2022,2022,no super over,no super over,no super over,52,simple matches,190,190.0,0,MI,0
2022-05-07,LSG,KKR,Avesh Khan,LSG,75 runs,KKR,field,maharashtra cricket association stadium,pune,7,5,2022,2022,no super over,no super over,no super over,53,simple matches,177,101.0,0,no super over,0
2022-05-08,RCB,SRH,PWH de Silva,RCB,67 runs,RCB,bat,wankhede stadium,mumbai,8,5,2022,2022,no super over,no super over,no super over,54,simple matches,193,125.0,0,MI,0
2022-05-08,CSK,DC,DP Conway,CSK,91 runs,DC,field,dr dy patil sports academy,navi mumbai,8,5,2022,2022,no super over,no super over,no super over,55,simple matches,209,117.0,0,no super over,0
2022-05-09,KKR,MI,JJ Bumrah,KKR,52 runs,MI,field,dr dy patil sports academy,navi mumbai,9,5,2022,2022,no super over,no super over,no super over,56,simple matches,166,113.0,0,no super over,0
2022-05-10,GT,LSG,Shubman Gill,GT,62 runs,GT,bat,maharashtra cricket association stadium,pune,10,5,2022,2022,no super over,no super over,no super over,57,simple matches,145,82.0,0,no super over,0
2022-05-11,RR,DC,MR Marsh,DC,8 wickets,DC,field,dr dy patil sports academy,navi mumbai,11,5,2022,2022,no super over,no super over,no super over,58,simple matches,161,161.0,0,no super over,0
2022-05-12,CSK,MI,DR Sams,MI,5 wickets,MI,field,wankhede stadium,mumbai,12,5,2022,2022,no super over,no super over,no super over,59,simple matches,98,103.0,0,MI,1
