date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2008-04-18,KKR,RCB,BB McCullum,KKR,140 runs,RCB,field,m chinnaswamy stadium,bangalore,18,4,2008,2008,no super over,no super over,no super over,1,simple matches,223,82.0,0,RCB,0
2008-04-19,CSK,KXP,MEK Hussey,CSK,33 runs,CSK,bat,punjab cricket association stadium,chandigarh,19,4,2008,2008,no super over,no super over,no super over,2,simple matches,241,207.0,0,KXP,0
2008-04-19,RR,DC,MF Maharoof,DC,9 wickets,RR,bat,arun jaitley stadium,delhi,19,4,2008,2008,no super over,no super over,no super over,3,simple matches,130,132.0,0,DC,1
2008-04-20,MI,RCB,MV Boucher,RCB,5 wickets,MI,bat,wankhede stadium,mumbai,20,4,2008,2008,no super over,no super over,no super over,5,simple matches,166,166.0,0,MI,0
2008-04-20,DEC,KKR,DJ Hussey,KKR,5 wickets,DEC,bat,eden gardens,kolkata,20,4,2008,2008,no super over,no super over,no super over,4,simple matches,111,112.0,0,KKR,1
2008-04-21,KXP,RR,SR Watson,RR,6 wickets,KXP,bat,sawai mansingh stadium,jaipur,21,4,2008,2008,no super over,no super over,no super over,6,simple matches,167,168.0,0,RR,1
2008-04-22,DEC,DC,V Sehwag,DC,9 wickets,DEC,bat,rajiv gandhi international stadium,hyderabad,22,4,2008,2008,no super over,no super over,no super over,7,simple matches,143,143.0,0,SRH,0
2008-04-23,CSK,MI,ML Hayden,CSK,6 runs,MI,field,ma chidambaram stadium,chennai,23,4,2008,2008,no super over,no super over,no super over,8,simple matches,209,202.0,0,CSK,1
2008-04-24,DEC,RR,YK Pathan,RR,3 wickets,RR,field,rajiv gandhi international stadium,hyderabad,24,4,2008,2008,no super over,no super over,no super over,9,simple matches,215,217.0,0,SRH,0
2008-04-25,KXP,MI,KC Sangakkara,KXP,66 runs,MI,field,punjab cricket association stadium,chandigarh,25,4,2008,2008,no super over,no super over,no super over,10,simple matches,183,116.0,0,KXP,1
2008-04-26,RCB,RR,SR Watson,RR,7 wickets,RR,field,m chinnaswamy stadium,bangalore,26,4,2008,2008,no super over,no super over,no super over,12,simple matches,136,138.0,0,RCB,0
2008-04-26,KKR,CSK,JDP Oram,CSK,9 wickets,KKR,bat,ma chidambaram stadium,chennai,26,4,2008,2008,no super over,no super over,no super over,11,simple matches,148,152.0,0,CSK,1
2008-04-27,MI,DEC,AC Gilchrist,DEC,10 wickets,DEC,field,dr dy patil sports academy,mumbai,27,4,2008,2008,no super over,no super over,no super over,14,simple matches,155,155.0,0,no super over,0
2008-04-27,DC,KXP,SM Katich,KXP,4 wickets,DC,bat,punjab cricket association stadium,chandigarh,27,4,2008,2008,no super over,no super over,no super over,13,simple matches,159,162.0,0,KXP,1
2008-04-28,CSK,RCB,MS Dhoni,CSK,13 runs,CSK,bat,m chinnaswamy stadium,bangalore,28,4,2008,2008,no super over,no super over,no super over,15,simple matches,179,165.0,0,RCB,0
2008-04-29,KKR,MI,ST Jayasuriya,MI,7 wickets,KKR,bat,eden gardens,kolkata,29,4,2008,2008,no super over,no super over,no super over,16,simple matches,138,138.0,0,KKR,0
2008-04-30,DC,RCB,GD McGrath,DC,10 runs,RCB,field,arun jaitley stadium,delhi,30,4,2008,2008,no super over,no super over,no super over,17,simple matches,192,181.0,0,DC,1
2008-05-01,DEC,KXP,SE Marsh,KXP,7 wickets,KXP,field,rajiv gandhi international stadium,hyderabad,1,5,2008,2008,no super over,no super over,no super over,19,simple matches,165,167.0,0,SRH,0
2008-05-01,RR,KKR,SA Asnodkar,RR,45 runs,RR,bat,sawai mansingh stadium,jaipur,1,5,2008,2008,no super over,no super over,no super over,18,simple matches,197,151.0,0,RR,1
2008-05-02,CSK,DC,V Sehwag,DC,8 wickets,CSK,bat,ma chidambaram stadium,chennai,2,5,2008,2008,no super over,no super over,no super over,20,simple matches,170,172.0,0,CSK,0
2008-05-03,KXP,KKR,IK Pathan,KXP,9 runs,KXP,bat,punjab cricket association stadium,chandigarh,3,5,2008,2008,no super over,no super over,no super over,22,simple matches,179,169.0,0,KXP,1
2008-05-03,RCB,DEC,P Kumar,RCB,3 runs,DEC,field,m chinnaswamy stadium,bangalore,3,5,2008,2008,no super over,no super over,no super over,21,simple matches,157,153.0,0,RCB,1
2008-05-04,MI,DC,SM Pollock,MI,29 runs,DC,field,dr dy patil sports academy,mumbai,4,5,2008,2008,no super over,no super over,no super over,23,simple matches,163,133.0,0,no super over,0
2008-05-04,CSK,RR,Sohail Tanvir,RR,8 wickets,CSK,bat,sawai mansingh stadium,jaipur,4,5,2008,2008,no super over,no super over,no super over,24,simple matches,110,110.0,0,RR,1
2008-05-05,RCB,KXP,S Sreesanth,KXP,6 wickets,KXP,field,m chinnaswamy stadium,bangalore,5,5,2008,2008,no super over,no super over,no super over,25,simple matches,127,127.0,0,RCB,0
2008-05-06,CSK,DEC,AC Gilchrist,DEC,7 wickets,DEC,field,ma chidambaram stadium,chennai,6,5,2008,2008,no super over,no super over,no super over,26,simple matches,145,148.0,0,CSK,0
2008-05-07,RR,MI,A Nehra,MI,7 wickets,MI,field,dr dy patil sports academy,mumbai,7,5,2008,2008,no super over,no super over,no super over,27,simple matches,104,104.0,0,no super over,0
2008-05-08,DC,CSK,MS Dhoni,CSK,4 wickets,CSK,field,arun jaitley stadium,delhi,8,5,2008,2008,no super over,no super over,no super over,28,simple matches,188,188.0,0,DC,0
2008-05-08,KKR,RCB,SC Ganguly,KKR,5 runs,KKR,bat,eden gardens,kolkata,8,5,2008,2008,no super over,no super over,no super over,29,simple matches,130,124.0,0,KKR,1
2008-05-09,DEC,RR,YK Pathan,RR,8 wickets,RR,field,sawai mansingh stadium,jaipur,9,5,2008,2008,no super over,no super over,no super over,30,simple matches,141,141.0,0,RR,1
2008-05-10,CSK,KXP,L Balaji,CSK,18 runs,KXP,field,ma chidambaram stadium,chennai,10,5,2008,2008,no super over,no super over,no super over,31,simple matches,182,163.0,0,CSK,1
2008-05-11,KKR,DEC,SC Ganguly,KKR,23 runs,KKR,bat,rajiv gandhi international stadium,hyderabad,11,5,2008,2008,no super over,no super over,no super over,32,simple matches,205,181.0,0,SRH,0
2008-05-11,DC,RR,SR Watson,RR,3 wickets,RR,field,sawai mansingh stadium,jaipur,11,5,2008,2008,no super over,no super over,no super over,33,simple matches,157,159.0,0,RR,1
2008-05-12,RCB,KXP,SE Marsh,KXP,9 wickets,RCB,bat,punjab cricket association stadium,chandigarh,12,5,2008,2008,no super over,no super over,no super over,34,simple matches,144,144.0,0,KXP,1
2008-05-13,KKR,DC,Shoaib Akhtar,KKR,23 runs,KKR,bat,eden gardens,kolkata,13,5,2008,2008,no super over,no super over,no super over,35,simple matches,134,110.0,0,KKR,1
2008-05-14,CSK,MI,ST Jayasuriya,MI,9 wickets,MI,field,wankhede stadium,mumbai,14,5,2008,2008,no super over,no super over,no super over,36,simple matches,157,158.0,0,MI,1
2008-05-15,DC,DEC,A Mishra,DC,12 runs,DEC,field,arun jaitley stadium,delhi,15,5,2008,2008,no super over,no super over,no super over,37,simple matches,195,182.0,0,DC,1
2008-05-16,KKR,MI,SM Pollock,MI,8 wickets,MI,field,wankhede stadium,mumbai,16,5,2008,2008,no super over,no super over,no super over,38,simple matches,68,68.0,0,MI,1
2008-05-17,DC,KXP,DPMD Jayawardene,KXP,6 runs,DC,bat,arun jaitley stadium,delhi,17,5,2008,2008,no super over,no super over,D/L,40,simple matches,119,94.0,0,DC,0
2008-05-17,RR,RCB,GC Smith,RR,65 runs,RCB,field,sawai mansingh stadium,jaipur,17,5,2008,2008,no super over,no super over,no super over,39,simple matches,198,132.0,0,RR,1
2008-05-18,MI,DEC,DJ Bravo,MI,25 runs,DEC,field,rajiv gandhi international stadium,hyderabad,18,5,2008,2008,no super over,no super over,no super over,42,simple matches,179,153.0,0,SRH,0
2008-05-18,KKR,CSK,M Ntini,CSK,3 runs,KKR,bat,eden gardens,kolkata,18,5,2008,2008,no super over,no super over,D/L,41,simple matches,150,55.0,0,KKR,0
2008-05-19,RCB,DC,SP Goswami,DC,5 wickets,DC,field,m chinnaswamy stadium,bangalore,19,5,2008,2008,no super over,no super over,no super over,43,simple matches,155,158.0,0,RCB,0
2008-05-20,KKR,RR,YK Pathan,RR,6 wickets,RR,field,eden gardens,kolkata,20,5,2008,2008,no super over,no super over,no super over,44,simple matches,148,150.0,0,KKR,0
2008-05-21,KXP,MI,SE Marsh,KXP,1 runs,MI,field,wankhede stadium,mumbai,21,5,2008,2008,no super over,no super over,no super over,45,simple matches,190,188.0,0,MI,0
2008-05-21,RCB,CSK,A Kumble,RCB,14 runs,RCB,bat,ma chidambaram stadium,chennai,21,5,2008,2008,no super over,no super over,no super over,46,simple matches,127,112.0,0,CSK,0
2008-05-23,DEC,KXP,SE Marsh,KXP,6 wickets,KXP,field,punjab cricket association stadium,chandigarh,23,5,2008,2008,no super over,no super over,no super over,48,simple matches,176,178.0,0,KXP,1
2008-05-24,MI,DC,KD Karthik,DC,5 wickets,DC,field,arun jaitley stadium,delhi,24,5,2008,2008,no super over,no super over,no super over,50,simple matches,177,179.0,0,DC,1
2008-05-24,RR,CSK,JA Morkel,RR,10 runs,RR,bat,ma chidambaram stadium,chennai,24,5,2008,2008,no super over,no super over,no super over,49,simple matches,212,201.0,0,CSK,0
2008-05-25,DEC,RCB,R Vinay Kumar,RCB,5 wickets,DEC,bat,rajiv gandhi international stadium,hyderabad,25,5,2008,2008,no super over,no super over,no super over,51,simple matches,166,171.0,0,SRH,0
2008-05-25,KXP,KKR,Umar Gul,KKR,3 wickets,KXP,bat,eden gardens,kolkata,25,5,2008,2008,no super over,no super over,no super over,52,simple matches,175,175.0,0,KKR,1
2008-05-26,MI,RR,Sohail Tanvir,RR,5 wickets,RR,field,sawai mansingh stadium,jaipur,26,5,2008,2008,no super over,no super over,no super over,53,simple matches,146,146.0,0,RR,1
2008-05-27,DEC,CSK,SK Raina,CSK,7 wickets,DEC,bat,rajiv gandhi international stadium,hyderabad,27,5,2008,2008,no super over,no super over,no super over,54,simple matches,148,148.0,0,SRH,0
2008-05-28,RCB,MI,CRD Fernando,MI,9 wickets,MI,field,m chinnaswamy stadium,bangalore,28,5,2008,2008,no super over,no super over,no super over,55,simple matches,123,126.0,0,RCB,0
2008-05-28,KXP,RR,SE Marsh,KXP,41 runs,RR,field,punjab cricket association stadium,chandigarh,28,5,2008,2008,no super over,no super over,no super over,56,simple matches,222,180.0,0,KXP,1
2008-05-30,RR,DC,SR Watson,RR,105 runs,DC,field,wankhede stadium,mumbai,30,5,2008,2008,no super over,no super over,no super over,Unknown,Semi Final,193,87.0,0,MI,0
2008-05-31,KXP,CSK,M Ntini,CSK,9 wickets,KXP,bat,wankhede stadium,mumbai,31,5,2008,2008,no super over,no super over,no super over,Unknown,Semi Final,113,116.0,0,MI,0
2008-06-01,CSK,RR,YK Pathan,RR,3 wickets,RR,field,dr dy patil sports academy,mumbai,1,6,2008,2008,no super over,no super over,no super over,Unknown,Final,164,164.0,0,no super over,0
2009-04-18,MI,CSK,SR Tendulkar,MI,19 runs,CSK,field,newlands,cape town,18,4,2009,2009,no super over,no super over,no super over,1,simple matches,166,146.0,0,no super over,0
2009-04-18,RCB,RR,R Dravid,RCB,75 runs,RCB,bat,newlands,cape town,18,4,2009,2009,no super over,no super over,no super over,2,simple matches,134,58.0,0,no super over,0
2009-04-19,KXP,DC,DL Vettori,DC,10 wickets,DC,field,newlands,cape town,19,4,2009,2009,no super over,no super over,D/L,3,simple matches,105,58.0,0,no super over,0
2009-04-19,KKR,DEC,RP Singh,DEC,8 wickets,KKR,bat,newlands,cape town,19,4,2009,2009,no super over,no super over,no super over,4,simple matches,102,104.0,0,no super over,0
2009-04-20,CSK,RCB,M Muralitharan,CSK,92 runs,CSK,bat,st george's park,port elizabeth,20,4,2009,2009,no super over,no super over,no super over,5,simple matches,180,87.0,0,no super over,0
2009-04-21,KXP,KKR,CH Gayle,KKR,11 runs,KKR,field,kingsmead,durban,21,4,2009,2009,no super over,no super over,D/L,6,simple matches,159,79.0,0,no super over,0
2009-04-22,DEC,RCB,AC Gilchrist,DEC,24 runs,DEC,bat,newlands,cape town,22,4,2009,2009,no super over,no super over,no super over,8,simple matches,185,160.0,0,no super over,0
2009-04-23,DC,CSK,AB de Villiers,DC,9 runs,DC,bat,kingsmead,durban,23,4,2009,2009,no super over,no super over,no super over,9,simple matches,190,180.0,0,no super over,0
2009-04-23,RR,KKR,YK Pathan,RR,tie,KKR,field,newlands,cape town,23,4,2009,2009,RR,tie,no super over,10,simple matches,151,150.0,1,no super over,0
2009-04-24,RCB,KXP,RS Bopara,KXP,7 wickets,RCB,bat,kingsmead,durban,24,4,2009,2009,no super over,no super over,no super over,11,simple matches,169,173.0,0,no super over,0
2009-04-25,DEC,MI,PP Ojha,DEC,12 runs,DEC,bat,kingsmead,durban,25,4,2009,2009,no super over,no super over,no super over,12,simple matches,169,156.0,0,no super over,0
2009-04-26,RCB,DC,TM Dilshan,DC,6 wickets,RCB,bat,st george's park,port elizabeth,26,4,2009,2009,no super over,no super over,no super over,14,simple matches,150,150.0,0,no super over,0
2009-04-26,KXP,RR,KC Sangakkara,KXP,27 runs,KXP,bat,newlands,cape town,26,4,2009,2009,no super over,no super over,no super over,15,simple matches,140,112.0,0,no super over,0
2009-04-27,CSK,DEC,HH Gibbs,DEC,6 wickets,DEC,field,kingsmead,durban,27,4,2009,2009,no super over,no super over,no super over,16,simple matches,166,169.0,0,no super over,0
2009-04-27,MI,KKR,SR Tendulkar,MI,92 runs,MI,bat,st george's park,port elizabeth,27,4,2009,2009,no super over,no super over,no super over,17,simple matches,188,95.0,0,no super over,0
2009-04-28,DC,RR,YK Pathan,RR,5 wickets,DC,bat,supersport park,centurion,28,4,2009,2009,no super over,no super over,no super over,18,simple matches,144,147.0,0,no super over,0
2009-04-29,KKR,RCB,MV Boucher,RCB,5 wickets,KKR,bat,kingsmead,durban,29,4,2009,2009,no super over,no super over,no super over,19,simple matches,140,143.0,0,no super over,0
2009-04-29,KXP,MI,KC Sangakkara,KXP,3 runs,KXP,bat,kingsmead,durban,29,4,2009,2009,no super over,no super over,no super over,20,simple matches,120,116.0,0,no super over,0
2009-04-30,DEC,DC,DP Nannes,DC,6 wickets,DC,field,supersport park,centurion,30,4,2009,2009,no super over,no super over,no super over,21,simple matches,149,150.0,0,no super over,0
2009-04-30,CSK,RR,SK Raina,CSK,38 runs,RR,field,supersport park,centurion,30,4,2009,2009,no super over,no super over,no super over,22,simple matches,165,126.0,0,no super over,0
2009-05-01,MI,KKR,JP Duminy,MI,9 runs,MI,bat,buffalo park,east london,1,5,2009,2009,no super over,no super over,no super over,23,simple matches,149,139.0,0,no super over,0
2009-05-01,RCB,KXP,Yuvraj Singh,RCB,8 runs,RCB,bat,kingsmead,durban,1,5,2009,2009,no super over,no super over,no super over,24,simple matches,146,137.0,0,no super over,0
2009-05-02,DEC,RR,YK Pathan,RR,3 wickets,DEC,bat,st george's park,port elizabeth,2,5,2009,2009,no super over,no super over,no super over,25,simple matches,142,142.0,0,no super over,0
2009-05-02,CSK,DC,SB Jakati,CSK,18 runs,DC,field,new wanderers stadium,johannesburg,2,5,2009,2009,no super over,no super over,no super over,26,simple matches,164,145.0,0,no super over,0
2009-05-03,KKR,KXP,DPMD Jayawardene,KXP,6 wickets,KKR,bat,st george's park,port elizabeth,3,5,2009,2009,no super over,no super over,no super over,27,simple matches,154,154.0,0,no super over,0
2009-05-03,MI,RCB,JH Kallis,RCB,9 wickets,MI,bat,new wanderers stadium,johannesburg,3,5,2009,2009,no super over,no super over,no super over,28,simple matches,150,150.0,0,no super over,0
2009-05-04,CSK,DEC,MS Dhoni,CSK,78 runs,CSK,bat,buffalo park,east london,4,5,2009,2009,no super over,no super over,no super over,29,simple matches,179,100.0,0,no super over,0
2009-05-05,RR,KXP,GC Smith,RR,78 runs,KXP,field,kingsmead,durban,5,5,2009,2009,no super over,no super over,no super over,30,simple matches,212,133.0,0,no super over,0
2009-05-05,KKR,DC,G Gambhir,DC,9 wickets,KKR,bat,kingsmead,durban,5,5,2009,2009,no super over,no super over,no super over,31,simple matches,155,157.0,0,no super over,0
2009-05-06,DEC,MI,RG Sharma,DEC,19 runs,DEC,bat,supersport park,centurion,6,5,2009,2009,no super over,no super over,no super over,32,simple matches,146,126.0,0,no super over,0
2009-05-07,RCB,RR,A Singh,RR,7 wickets,RR,field,supersport park,centurion,7,5,2009,2009,no super over,no super over,no super over,33,simple matches,106,107.0,0,no super over,0
2009-05-07,CSK,KXP,ML Hayden,CSK,12 runs,CSK,bat,supersport park,centurion,7,5,2009,2009,no super over,no super over,D/L,34,simple matches,186,174.0,0,no super over,0
2009-05-08,MI,DC,A Nehra,DC,7 wickets,MI,bat,buffalo park,east london,8,5,2009,2009,no super over,no super over,no super over,35,simple matches,117,118.0,0,no super over,0
2009-05-09,DEC,KXP,DPMD Jayawardene,KXP,3 wickets,KXP,field,de beers diamond oval,kimberley,9,5,2009,2009,no super over,no super over,no super over,36,simple matches,169,169.0,0,no super over,0
2009-05-09,RR,CSK,S Badrinath,CSK,7 wickets,RR,bat,de beers diamond oval,kimberley,9,5,2009,2009,no super over,no super over,no super over,37,simple matches,141,141.0,0,no super over,0
2009-05-10,MI,RCB,JP Duminy,MI,16 runs,MI,bat,st george's park,port elizabeth,10,5,2009,2009,no super over,no super over,no super over,38,simple matches,158,141.0,0,no super over,0
2009-05-10,KKR,DC,A Mishra,DC,7 wickets,DC,field,new wanderers stadium,johannesburg,10,5,2009,2009,no super over,no super over,no super over,39,simple matches,124,125.0,0,no super over,0
2009-05-11,DEC,RR,DR Smith,DEC,53 runs,DEC,bat,de beers diamond oval,kimberley,11,5,2009,2009,no super over,no super over,no super over,40,simple matches,167,113.0,0,no super over,0
2009-05-12,KKR,RCB,LRPL Taylor,RCB,6 wickets,RCB,field,supersport park,centurion,12,5,2009,2009,no super over,no super over,no super over,41,simple matches,174,176.0,0,no super over,0
2009-05-12,KXP,MI,Harbhajan Singh,MI,8 wickets,KXP,bat,supersport park,centurion,12,5,2009,2009,no super over,no super over,no super over,42,simple matches,120,122.0,0,no super over,0
2009-05-13,DC,DEC,R Bhatia,DC,12 runs,DEC,field,kingsmead,durban,13,5,2009,2009,no super over,no super over,no super over,43,simple matches,174,161.0,0,no super over,0
2009-05-14,CSK,RCB,LRPL Taylor,RCB,2 wickets,CSK,bat,kingsmead,durban,14,5,2009,2009,no super over,no super over,no super over,44,simple matches,130,132.0,0,no super over,0
2009-05-14,RR,MI,SK Warne,RR,2 runs,RR,bat,kingsmead,durban,14,5,2009,2009,no super over,no super over,no super over,45,simple matches,146,143.0,0,no super over,0
2009-05-15,DC,KXP,B Lee,KXP,6 wickets,KXP,field,outsurance oval,bloemfontein,15,5,2009,2009,no super over,no super over,no super over,46,simple matches,121,123.0,0,no super over,0
2009-05-16,MI,CSK,ML Hayden,CSK,7 wickets,MI,bat,st george's park,port elizabeth,16,5,2009,2009,no super over,no super over,no super over,47,simple matches,148,151.0,0,no super over,0
2009-05-16,KKR,DEC,RG Sharma,DEC,6 wickets,DEC,field,new wanderers stadium,johannesburg,16,5,2009,2009,no super over,no super over,no super over,48,simple matches,161,166.0,0,no super over,0
2009-05-17,KXP,DEC,Yuvraj Singh,KXP,1 runs,DEC,field,new wanderers stadium,johannesburg,17,5,2009,2009,no super over,no super over,no super over,49,simple matches,135,133.0,0,no super over,0
2009-05-17,DC,RR,AB de Villiers,DC,14 runs,DC,bat,outsurance oval,bloemfontein,17,5,2009,2009,no super over,no super over,no super over,50,simple matches,151,136.0,0,no super over,0
2009-05-18,CSK,KKR,BJ Hodge,KKR,7 wickets,CSK,bat,supersport park,centurion,18,5,2009,2009,no super over,no super over,no super over,51,simple matches,189,189.0,0,no super over,0
2009-05-19,DC,RCB,JH Kallis,RCB,7 wickets,DC,bat,new wanderers stadium,johannesburg,19,5,2009,2009,no super over,no super over,no super over,52,simple matches,135,135.0,0,no super over,0
2009-05-20,RR,KKR,LR Shukla,KKR,4 wickets,KKR,field,kingsmead,durban,20,5,2009,2009,no super over,no super over,no super over,53,simple matches,102,102.0,0,no super over,0
2009-05-20,CSK,KXP,M Muralitharan,CSK,24 runs,CSK,bat,kingsmead,durban,20,5,2009,2009,no super over,no super over,no super over,54,simple matches,117,92.0,0,no super over,0
2009-05-21,MI,DC,V Sehwag,DC,4 wickets,DC,field,supersport park,centurion,21,5,2009,2009,no super over,no super over,no super over,55,simple matches,166,166.0,0,no super over,0
2009-05-21,RCB,DEC,MK Pandey,RCB,12 runs,RCB,bat,supersport park,centurion,21,5,2009,2009,no super over,no super over,no super over,56,simple matches,171,158.0,0,no super over,0
2009-05-22,DC,DEC,AC Gilchrist,DEC,6 wickets,DEC,field,supersport park,centurion,22,5,2009,2009,no super over,no super over,no super over,Unknown,Semi Final,154,154.0,0,no super over,0
2009-05-23,CSK,RCB,MK Pandey,RCB,6 wickets,RCB,field,new wanderers stadium,johannesburg,23,5,2009,2009,no super over,no super over,no super over,Unknown,Semi Final,147,149.0,0,no super over,0
2009-05-24,DEC,RCB,A Kumble,DEC,6 runs,RCB,field,new wanderers stadium,johannesburg,24,5,2009,2009,no super over,no super over,no super over,Unknown,Final,144,137.0,0,no super over,0
2010-03-12,KKR,DEC,AD Mathews,KKR,11 runs,DEC,field,dr dy patil sports academy,mumbai,12,3,2010,2010,no super over,no super over,no super over,1,simple matches,162,150.0,0,no super over,0
2010-03-13,MI,RR,YK Pathan,MI,4 runs,MI,bat,brabourne stadium,mumbai,13,3,2010,2010,no super over,no super over,no super over,2,simple matches,213,208.0,0,no super over,0
2010-03-13,KXP,DC,G Gambhir,DC,5 wickets,DC,field,punjab cricket association stadium,chandigarh,13,3,2010,2010,no super over,no super over,no super over,3,simple matches,143,146.0,0,KXP,0
2010-03-14,RCB,KKR,MK Tiwary,KKR,7 wickets,KKR,field,eden gardens,kolkata,14,3,2010,2010,no super over,no super over,no super over,4,simple matches,136,136.0,0,KKR,1
2010-03-14,DEC,CSK,WPUJC Vaas,DEC,31 runs,DEC,bat,ma chidambaram stadium,chennai,14,3,2010,2010,no super over,no super over,no super over,5,simple matches,191,159.0,0,CSK,0
2010-03-15,RR,DC,V Sehwag,DC,6 wickets,DC,field,narendra modi stadium,ahmedabad,15,3,2010,2010,no super over,no super over,no super over,6,simple matches,142,142.0,0,GT,0
2010-03-16,KXP,RCB,JH Kallis,RCB,8 wickets,KXP,bat,m chinnaswamy stadium,bangalore,16,3,2010,2010,no super over,no super over,no super over,7,simple matches,204,204.0,0,RCB,1
2010-03-16,CSK,KKR,MS Dhoni,CSK,55 runs,CSK,bat,eden gardens,kolkata,16,3,2010,2010,no super over,no super over,no super over,8,simple matches,165,109.0,0,KKR,0
2010-03-17,MI,DC,SR Tendulkar,MI,98 runs,DC,field,arun jaitley stadium,delhi,17,3,2010,2010,no super over,no super over,no super over,9,simple matches,219,120.0,0,DC,0
2010-03-18,RR,RCB,JH Kallis,RCB,10 wickets,RCB,field,m chinnaswamy stadium,bangalore,18,3,2010,2010,no super over,no super over,no super over,10,simple matches,93,93.0,0,RCB,1
2010-03-19,DC,CSK,ML Hayden,CSK,5 wickets,DC,bat,arun jaitley stadium,delhi,19,3,2010,2010,no super over,no super over,no super over,11,simple matches,186,190.0,0,DC,0
2010-03-19,DEC,KXP,A Symonds,DEC,6 runs,KXP,field,barabati stadium,cuttack,19,3,2010,2010,no super over,no super over,no super over,12,simple matches,171,164.0,0,no super over,0
2010-03-20,RR,KKR,AA Jhunjhunwala,RR,34 runs,RR,bat,narendra modi stadium,ahmedabad,20,3,2010,2010,no super over,no super over,no super over,13,simple matches,169,134.0,0,GT,0
2010-03-20,MI,RCB,JH Kallis,RCB,7 wickets,MI,bat,brabourne stadium,mumbai,20,3,2010,2010,no super over,no super over,no super over,14,simple matches,152,155.0,0,no super over,0
2010-03-21,DEC,DC,A Symonds,DEC,10 runs,DEC,bat,barabati stadium,cuttack,21,3,2010,2010,no super over,no super over,no super over,15,simple matches,172,161.0,0,no super over,0
2010-03-21,KXP,CSK,J Theron,KXP,tie,CSK,field,ma chidambaram stadium,chennai,21,3,2010,2010,KXP,tie,no super over,16,simple matches,137,136.0,1,CSK,0
2010-03-22,KKR,MI,SR Tendulkar,MI,7 wickets,KKR,bat,brabourne stadium,mumbai,22,3,2010,2010,no super over,no super over,no super over,17,simple matches,156,156.0,0,no super over,0
2010-03-23,RCB,CSK,RV Uthappa,RCB,36 runs,CSK,field,m chinnaswamy stadium,bangalore,23,3,2010,2010,no super over,no super over,no super over,18,simple matches,172,135.0,0,RCB,1
2010-03-24,RR,KXP,AC Voges,RR,31 runs,KXP,field,punjab cricket association stadium,chandigarh,24,3,2010,2010,no super over,no super over,no super over,19,simple matches,184,152.0,0,KXP,0
2010-03-25,CSK,MI,SR Tendulkar,MI,5 wickets,MI,field,brabourne stadium,mumbai,25,3,2010,2010,no super over,no super over,no super over,21,simple matches,181,181.0,0,no super over,0
2010-03-25,DC,RCB,KM Jadhav,DC,17 runs,RCB,field,m chinnaswamy stadium,bangalore,25,3,2010,2010,no super over,no super over,no super over,20,simple matches,184,166.0,0,RCB,0
2010-03-26,DEC,RR,YK Pathan,RR,8 wickets,DEC,bat,narendra modi stadium,ahmedabad,26,3,2010,2010,no super over,no super over,no super over,22,simple matches,149,151.0,0,GT,0
2010-03-27,KKR,KXP,MK Tiwary,KKR,39 runs,KKR,bat,punjab cricket association stadium,chandigarh,27,3,2010,2010,no super over,no super over,no super over,23,simple matches,184,144.0,0,KXP,0
2010-03-28,RR,CSK,NV Ojha,RR,17 runs,RR,bat,narendra modi stadium,ahmedabad,28,3,2010,2010,no super over,no super over,no super over,24,simple matches,178,160.0,0,GT,0
2010-03-28,MI,DEC,Harbhajan Singh,MI,41 runs,DEC,field,dr dy patil sports academy,mumbai,28,3,2010,2010,no super over,no super over,no super over,25,simple matches,173,131.0,0,no super over,0
2010-03-29,DC,KKR,DA Warner,DC,40 runs,DC,bat,arun jaitley stadium,delhi,29,3,2010,2010,no super over,no super over,no super over,26,simple matches,178,137.0,0,DC,1
2010-03-30,KXP,MI,SL Malinga,MI,4 wickets,MI,field,brabourne stadium,mumbai,30,3,2010,2010,no super over,no super over,no super over,27,simple matches,164,164.0,0,no super over,0
2010-03-31,RCB,CSK,M Vijay,CSK,5 wickets,RCB,bat,ma chidambaram stadium,chennai,31,3,2010,2010,no super over,no super over,no super over,28,simple matches,162,162.0,0,CSK,1
2010-03-31,DC,RR,KD Karthik,DC,67 runs,DC,bat,arun jaitley stadium,delhi,31,3,2010,2010,no super over,no super over,no super over,29,simple matches,189,121.0,0,DC,1
2010-04-01,KKR,DEC,SC Ganguly,KKR,24 runs,KKR,bat,eden gardens,kolkata,1,4,2010,2010,no super over,no super over,no super over,30,simple matches,182,157.0,0,KKR,1
2010-04-02,KXP,RCB,KP Pietersen,RCB,6 wickets,KXP,bat,punjab cricket association stadium,chandigarh,2,4,2010,2010,no super over,no super over,no super over,31,simple matches,182,184.0,0,KXP,0
2010-04-03,CSK,RR,M Vijay,CSK,23 runs,CSK,bat,ma chidambaram stadium,chennai,3,4,2010,2010,no super over,no super over,no super over,32,simple matches,247,223.0,0,CSK,1
2010-04-03,MI,DEC,AT Rayudu,MI,63 runs,MI,bat,brabourne stadium,mumbai,3,4,2010,2010,no super over,no super over,no super over,33,simple matches,179,115.0,0,no super over,0
2010-04-04,KKR,KXP,DPMD Jayawardene,KXP,8 wickets,KKR,bat,eden gardens,kolkata,4,4,2010,2010,no super over,no super over,no super over,34,simple matches,201,204.0,0,KKR,0
